index,Latitude,Longitude,Altitude,Timestamp
885,31.75607183738812,35.19862286621456,709.3485674487607, 2019-12-23 16:26:10 +0000
895,31.75614381427949,35.19914270558762,711.3745553051069, 2019-12-23 16:27:00 +0000
905,31.75625750233737,35.19991084034633,715.06034847137, 2019-12-23 16:27:50 +0000
915,31.756057800133174,35.200721425273855,720.746580868844, 2019-12-23 16:28:40 +0000
925,31.755349186933664,35.2007182359299,715.5982369178745, 2019-12-23 16:29:30 +0000
935,31.755426375627106,35.20096325840557,718.3936065753948, 2019-12-23 16:30:20 +0000
945,31.755423536879068,35.200935570165356,717.8778176821709, 2019-12-23 16:31:10 +0000
955,31.75548335270072,35.200868316624884,717.6635544329599, 2019-12-23 16:32:00 +0000
965,31.75545792769473,35.20088152972645,717.6459996585146, 2019-12-23 16:32:50 +0000
36958,31.770756647478184,35.21164890625072,761.0795288085938, 2019-12-25 16:51:49 +0000
36986,31.77077029958781,35.211636257231675,761.7396850585938, 2019-12-25 16:52:56 +0000
37010,31.77077775008384,35.211654615677006,761.1123046875, 2019-12-25 16:53:56 +0000
37036,31.770771204831128,35.21166884454388,760.3263549804688, 2019-12-25 16:55:04 +0000
37062,31.77077754322989,35.211638429007174,761.1948852539062, 2019-12-25 16:56:09 +0000
37091,31.770756849911532,35.21164749466973,760.6751098632812, 2019-12-25 16:57:20 +0000
37116,31.770762621226144,35.21165887874473,761.40771484375, 2019-12-25 16:58:21 +0000
37142,31.770745460157734,35.21162683017538,763.0537109375, 2019-12-25 16:59:26 +0000
37165,31.770740596980424,35.21154112050037,762.828857421875, 2019-12-25 17:00:25 +0000
37189,31.770744776628536,35.211551395887454,763.4712524414062, 2019-12-25 17:01:25 +0000
37213,31.77073128835903,35.21152377595901,763.56884765625, 2019-12-25 17:02:25 +0000
37237,31.77074102001227,35.21154691984675,763.6129760742188, 2019-12-25 17:03:25 +0000
37261,31.770731352218853,35.21150216674759,763.6986694335938, 2019-12-25 17:04:25 +0000
37285,31.770733499439544,35.211521387039774,763.732666015625, 2019-12-25 17:05:25 +0000
37309,31.77075525970711,35.21156394024117,763.7426147460938, 2019-12-25 17:06:25 +0000
37332,31.77075656849319,35.21156735941557,763.7704467773438, 2019-12-25 17:07:24 +0000
37356,31.77073594818041,35.21152562203535,763.74658203125, 2019-12-25 17:08:24 +0000
37380,31.77073782420857,35.211531596820095,763.7886962890625, 2019-12-25 17:09:24 +0000
37404,31.77075214201572,35.211575663077866,762.842041015625, 2019-12-25 17:10:24 +0000
37428,31.770741127662358,35.21156132916285,762.7286987304688, 2019-12-25 17:11:23 +0000
37452,31.770738078755368,35.211563266930085,762.177734375, 2019-12-25 17:12:23 +0000
37474,31.77073547041141,35.21157683400957,763.034912109375, 2019-12-25 17:13:17 +0000
37498,31.770714902926784,35.21149342188854,763.2510375976562, 2019-12-25 17:14:18 +0000
37522,31.770732323262873,35.211515531277044,763.288330078125, 2019-12-25 17:15:19 +0000
37544,31.77074277681721,35.211542249641674,763.137939453125, 2019-12-25 17:16:13 +0000
37568,31.77072422965805,35.21151544441109,763.122314453125, 2019-12-25 17:17:13 +0000
37592,31.770749680190576,35.21155609339593,763.0989379882812, 2019-12-25 17:18:12 +0000
37616,31.770755775692162,35.21157131508021,762.9011840820312, 2019-12-25 17:19:12 +0000
37640,31.770767355878558,35.21160914013978,762.8082885742188, 2019-12-25 17:20:12 +0000
37664,31.770722457616376,35.21152740796329,763.0987548828125, 2019-12-25 17:21:11 +0000
37687,31.77075422878313,35.21158945673878,763.09716796875, 2019-12-25 17:22:10 +0000
37711,31.770750904025732,35.21156176761474,762.9788818359375, 2019-12-25 17:23:10 +0000
37735,31.770750412102213,35.21156919817405,763.0032348632812, 2019-12-25 17:24:10 +0000
37759,31.77069592819589,35.211574575838526,762.959228515625, 2019-12-25 17:25:10 +0000
37783,31.770756824701184,35.21156143066656,762.946533203125, 2019-12-25 17:26:10 +0000
37807,31.770768676051823,35.21161366330159,762.9125366210938, 2019-12-25 17:27:10 +0000
37830,31.770768633565712,35.2116138698179,762.895263671875, 2019-12-25 17:28:07 +0000
37854,31.770760155410837,35.211600296224326,762.8565673828125, 2019-12-25 17:29:06 +0000
37877,31.77074505169096,35.21157443827536,762.945556640625, 2019-12-25 17:30:05 +0000
37900,31.770763547836193,35.21160415219144,763.08251953125, 2019-12-25 17:31:04 +0000
37924,31.770761770881766,35.21159823466954,763.2168579101562, 2019-12-25 17:32:04 +0000
37948,31.770705172156294,35.211586148098476,763.215087890625, 2019-12-25 17:33:02 +0000
37972,31.77075533148509,35.211590992416845,763.1238403320312, 2019-12-25 17:34:02 +0000
37996,31.770747305618194,35.211607741621634,763.1123046875, 2019-12-25 17:35:01 +0000
38020,31.770738299118854,35.21155221166682,763.0949096679688, 2019-12-25 17:36:01 +0000
38044,31.770765203530537,35.21160510861393,763.0679321289062, 2019-12-25 17:37:01 +0000
38068,31.770763394337333,35.211603094248915,763.0843505859375, 2019-12-25 17:38:01 +0000
38091,31.77073020640464,35.21155502385784,763.03173828125, 2019-12-25 17:39:00 +0000
38114,31.770764236395895,35.211595394867224,762.9899291992188, 2019-12-25 17:39:59 +0000
38138,31.77073851397736,35.21156022606033,762.9030151367188, 2019-12-25 17:40:58 +0000
38160,31.770727021965605,35.21154766903826,764.0643920898438, 2019-12-25 17:41:54 +0000
